date,semester,rank,team,acronym,total.points,previous.points,diff.points
2024,2,1,Argentina,ARG,1867.25,1883.5,-16.25
2024,2,2,France,FRA,1859.78,1859.85,-0.07
2024,2,3,Spain,ESP,1853.27,1844.33,8.94000000000005
2024,2,4,England,ENG,1813.81,1807.83,5.98000000000002
2024,2,5,Brazil,BRA,1775.85,1784.37,-8.52
2024,2,6,Portugal,POR,1756.12,1752.68,3.43999999999983
2024,2,7,Netherlands,NED,1747.55,1748.24,-0.69
2024,2,8,Belgium,BEL,1740.62,1761.27,-20.65
2024,2,9,Italy,ITA,1731.51,1729.4,2.1099999999999
2024,2,10,Germany,GER,1703.79,1703.59,0.200000000000045
2024,2,11,Uruguay,URU,1695.91,1680.36,15.5500000000002
2024,2,12,Colombia,COL,1694.44,1724.37,-29.93
2024,2,13,Croatia,CRO,1691.59,1701.36,-9.77
2024,2,14,Morocco,MAR,1688.18,1681.57,6.61000000000013
2024,2,15,Japan,JPN,1652.79,1645.09,7.70000000000005
2024,2,16,USA,USA,1645.48,1630.97,14.51
2024,2,17,Senegal,SEN,1637.25,1627.13,10.1199999999999
2024,2,18,IR Iran,IRN,1635.31,1627.58,7.73000000000002
2024,2,19,Mexico,MEX,1627.4,1640.67,-13.27
2024,2,20,Switzerland,SUI,1625.16,1631.38,-6.22
2024,2,21,Denmark,DEN,1611.49,1617.34,-5.85
2024,2,22,Austria,AUT,1589.84,1589.17,0.669999999999845
2024,2,23,Korea Republic,KOR,1585.45,1589.93,-4.48
2024,2,24,Ecuador,ECU,1560.13,1536.32,23.8100000000002
2024,2,25,Ukraine,UKR,1554.94,1552.37,2.57000000000016
2024,2,26,Australia,AUS,1544.15,1552.77,-8.62
2024,2,27,Sweden,SWE,1540.2,1530.41,9.78999999999996
2024,2,28,Türkiye,TUR,1537.24,1548.15,-10.91
2024,2,29,Wales,WAL,1534.39,1528.96,5.43000000000006
2024,2,30,Hungary,HUN,1517.57,1519.33,-1.76
2024,2,31,Canada,CAN,1515.96,1507.27,8.69000000000005
2024,2,32,Serbia,SRB,1514.28,1511.16,3.11999999999989
2024,2,33,Egypt,EGY,1513.48,1526.25,-12.77
2024,2,34,Russia,RUS,1512.32,1508.73,3.58999999999992
2024,2,35,Poland,POL,1510.62,1523.19,-12.57
2024,2,36,Panama,PAN,1504.39,1493.8,10.5900000000001
2024,2,37,Algeria,ALG,1495.85,1496.94,-1.09
2024,2,38,Romania,ROU,1494.2,1487.22,6.98000000000002
2024,2,39,Greece,GRE,1489.88,1487.42,2.46000000000004
2024,2,40,Peru,PER,1488.42,1494.24,-5.82
2024,2,41,Slovakia,SVK,1486.19,1489.88,-3.69
2024,2,42,Czechia,CZE,1484.88,1480.39,4.49000000000001
2024,2,43,Norway,NOR,1484.44,1473.5,10.9400000000001
2024,2,44,Nigeria,NGA,1482.23,1503.29,-21.06
2024,2,45,Scotland,SCO,1480.24,1461.34,18.9000000000001
2024,2,46,Côte d'Ivoire,CIV,1478.47,1493.57,-15.1
2024,2,47,Venezuela,VEN,1475.71,1482.47,-6.76
2024,2,48,Qatar,QAT,1474.6,1478.6,-4.0
2024,2,49,Cameroon,CMR,1471.49,1472.12,-0.63
2024,2,50,Chile,CHI,1469.44,1455.22,14.22
2024,2,51,Mali,MLI,1466.1,1454.84,11.26
2024,2,52,Tunisia,TUN,1464.42,1478.52,-14.1
2024,2,53,Paraguay,PAR,1458.26,1440.78,17.48
2024,2,54,Costa Rica,CRC,1454.99,1465.57,-10.58
2024,2,55,Slovenia,SVN,1454.25,1459.59,-5.34
2024,2,56,Iraq,IRQ,1442.86,1434.4,8.45999999999981
2024,2,57,South Africa,RSA,1428.87,1415.98,12.8899999999999
2024,2,58,Uzbekistan,UZB,1424.93,1429.26,-4.33
2024,2,59,Saudi Arabia,KSA,1406.56,1422.67,-16.11
2024,2,60,Republic of Ireland,IRL,1400.22,1395.61,4.61000000000013
2024,2,61,Congo DR,COD,1395.77,1431.3,-35.53
2024,2,62,Jamaica,JAM,1390.85,1405.36,-14.51
2024,2,63,United Arab Emirates,UAE,1385.57,1361.34,24.23
2024,2,64,Jordan,JOR,1375.91,1380.75,-4.84
2024,2,65,Albania,ALB,1375.57,1379.29,-3.72
2024,2,66,Burkina Faso,BFA,1373.76,1399.8,-26.04
2024,2,67,North Macedonia,MKD,1368.96,1361.01,7.95000000000005
2024,2,68,Georgia,GEO,1362.21,1365.56,-3.35
2024,2,69,Finland,FIN,1361.53,1374.58,-13.05
2024,2,70,Iceland,ISL,1355.1,1353.18,1.91999999999985
2024,2,71,Northern Ireland,NIR,1349.58,1345.06,4.51999999999998
2024,2,72,Cabo Verde,CPV,1328.51,1340.87,-12.36
2024,2,73,Montenegro,MNE,1326.76,1323.2,3.55999999999995
2024,2,74,Bosnia and Herzegovina,BIH,1326.69,1324.43,2.25999999999999
2024,2,75,Honduras,HON,1325.93,1312.66,13.27
2024,2,76,Israel,ISR,1322.25,1303.65,18.5999999999999
2024,2,77,Ghana,GHA,1320.52,1338.73,-18.21
2024,2,78,Guinea,GUI,1311.88,1312.45,-0.57
2024,2,79,Bolivia,BOL,1308.58,1312.36,-3.78
2024,2,80,Oman,OMA,1306.67,1305.99,0.680000000000064
2024,2,81,Bahrain,BHR,1305.52,1313.8,-8.28
2024,2,82,Bulgaria,BUL,1301.04,1295.11,5.93000000000006
2024,2,83,El Salvador,SLV,1300.81,1297.99,2.81999999999994
2024,2,84,Gabon,GAB,1297.87,1294.11,3.75999999999999
2024,2,85,Angola,ANG,1296.48,1298.75,-2.27
2024,2,86,Haiti,HAI,1287.75,1283.67,4.07999999999993
2024,2,87,Zambia,ZAM,1279.24,1251.84,27.4000000000001
2024,2,88,Uganda,UGA,1270.42,1269.79,0.630000000000109
2024,2,89,New Zealand,NZL,1269.83,1258.11,11.72
2024,2,90,China PR,CHN,1266.38,1257.29,9.09000000000015
2024,2,91,Curaçao,CUW,1264.78,1260.87,3.91000000000008
2024,2,92,Luxembourg,LUX,1256.42,1262.08,-5.66
2024,2,93,Equatorial Guinea,EQG,1256.2,1266.68,-10.48
2024,2,94,Benin,BEN,1250.99,1250.97,0.0199999999999818
2024,2,95,Syria,SYR,1249.47,1252.19,-2.72
2024,2,96,Mozambique,MOZ,1232.7,1229.01,3.69000000000005
2024,2,97,Thailand,THA,1228.24,1231.75,-3.51
2024,2,98,Belarus,BLR,1226.31,1231.1,-4.79
2024,2,99,Kosovo,KOS,1219.82,1218.22,1.59999999999991
2024,2,100,Armenia,ARM,1219.15,1222.74,-3.59
2024,2,101,Palestine,PLE,1215.87,1218.43,-2.56
2024,2,102,Trinidad and Tobago,TRI,1214.81,1214.81,0.0
2024,2,103,Comoros,COM,1208.99,1185.98,23.01
2024,2,104,Tajikistan,TJK,1203.08,1196.98,6.09999999999991
2024,2,105,Guatemala,GUA,1201.35,1201.35,0.0
2024,2,106,Tanzania,TAN,1199.33,1173.84,25.49
2024,2,107,Kyrgyz Republic,KGZ,1194.19,1207.08,-12.89
2024,2,108,Kenya,KEN,1189.65,1195.36,-5.71
2024,2,109,Mauritania,MTN,1183.16,1168.44,14.72
2024,2,110,Kazakhstan,KAZ,1180.18,1186.46,-6.28
2024,2,111,Namibia,NAM,1179.26,1173.81,5.45000000000005
2024,2,112,Lebanon,LBN,1168.1,1167.49,0.6099999999999
2024,2,113,Sudan,SDN,1165.41,1176.2,-10.79
2024,2,114,Korea DPR,PRK,1164.41,1175.14,-10.73
2024,2,115,Madagascar,MAD,1162.02,1180.0,-17.98
2024,2,116,Vietnam,VIE,1161.11,1161.11,0.0
2024,2,117,Azerbaijan,AZE,1158.7,1161.8,-3.1
2024,2,118,Libya,LBY,1158.03,1148.7,9.32999999999993
2024,2,119,Togo,TOG,1152.18,1147.91,4.26999999999998
2024,2,120,Guinea-Bissau,GNB,1151.72,1166.34,-14.62
2024,2,121,Zimbabwe,ZIM,1151.06,1162.48,-11.42
2024,2,122,Niger,NIG,1145.96,1114.73,31.23
2024,2,123,Estonia,EST,1142.53,1145.52,-2.99
2024,2,124,Rwanda,RWA,1136.06,1130.04,6.01999999999998
2024,2,125,Indonesia,IDN,1135.11,1118.87,16.24
2024,2,126,The Gambia,GAM,1134.69,1125.62,9.07000000000016
2024,2,127,India,IND,1133.62,1133.78,-0.16
2024,2,128,Congo,CGO,1132.65,1159.42,-26.77
2024,2,129,Sierra Leone,SLE,1132.06,1149.81,-17.75
2024,2,130,Cyprus,CYP,1131.32,1127.51,3.80999999999995
2024,2,131,Malawi,MWI,1129.31,1111.16,18.1499999999999
2024,2,132,Malaysia,MAS,1117.05,1113.92,3.12999999999988
2024,2,133,Nicaragua,NCA,1114.28,1114.28,0.0
2024,2,134,Kuwait,KUW,1109.16,1106.42,2.74000000000001
2024,2,135,Central African Republic,CTA,1102.23,1125.26,-23.03
2024,2,136,Botswana,BOT,1098.85,1088.45,10.3999999999999
2024,2,137,Faroe Islands,FRO,1096.88,1091.52,5.36000000000013
2024,2,138,Suriname,SUR,1096.6,1105.29,-8.69
2024,2,139,Burundi,BDI,1087.26,1089.49,-2.23
2024,2,140,Latvia,LVA,1084.11,1093.82,-9.71
2024,2,141,Dominican Republic,DOM,1083.36,1071.88,11.4799999999998
2024,2,142,Lithuania,LTU,1069.96,1082.36,-12.4
2024,2,143,Turkmenistan,TKM,1065.42,1065.42,0.0
2024,2,144,St Kitts and Nevis,SKN,1064.99,1069.25,-4.26
2024,2,145,Liberia,LBR,1063.04,1048.86,14.1800000000001
2024,2,146,Ethiopia,ETH,1059.94,1049.28,10.6600000000001
2024,2,147,Fiji,FIJ,1049.15,1051.41,-2.26
2024,2,148,Solomon Islands,SOL,1048.75,1050.99,-2.24
2024,2,149,Philippines,PHI,1047.73,1053.09,-5.36
2024,2,150,Lesotho,LES,1046.76,1032.79,13.97
2024,2,151,Moldova,MDA,1045.59,1040.83,4.75999999999999
2024,2,152,New Caledonia,NCL,1034.43,1020.83,13.6
2024,2,153,Tahiti,TAH,1031.47,1009.52,21.95
2024,2,154,Guyana,GUY,1030.6,1008.68,21.92
2024,2,155,Afghanistan,AFG,1025.0,1034.37,-9.37
2024,2,156,"Hong Kong, China",HKG,1024.58,1015.1,9.4799999999999
2024,2,157,Puerto Rico,PUR,1022.83,1021.62,1.21000000000004
2024,2,158,Yemen,YEM,1017.84,1021.24,-3.4
2024,2,159,Eswatini,SWZ,1015.25,1009.19,6.05999999999995
2024,2,160,Antigua and Barbuda,ATG,1010.97,1020.58,-9.61
2024,2,161,Singapore,SGP,1007.83,1008.26,-0.43
2024,2,162,Maldives,MDV,1001.39,1003.48,-2.09
2024,2,163,Vanuatu,VAN,996.21,1015.52,-19.31
2024,2,164,Cuba,CUB,994.43,990.18,4.25
2024,2,165,Chinese Taipei,TPE,990.92,985.66,5.25999999999999
2024,2,166,Bermuda,BER,988.19,986.53,1.66000000000008
2024,2,167,Myanmar,MYA,986.15,990.98,-4.83
2024,2,168,St Lucia,LCA,985.72,997.86,-12.14
2024,2,169,Malta,MLT,983.95,980.5,3.45000000000005
2024,2,170,South Sudan,SSD,973.55,955.67,17.88
2024,2,171,Andorra,AND,971.54,977.96,-6.42
2024,2,172,Papua New Guinea,PNG,963.22,972.32,-9.1
2024,2,173,St Vincent and the Grenadines,VIN,961.92,954.86,7.05999999999995
2024,2,174,Grenada,GRN,955.44,947.22,8.22000000000003
2024,2,175,Nepal,NEP,939.2,935.93,3.2700000000001
2024,2,176,Chad,CHA,935.41,933.39,2.01999999999998
2024,2,177,Barbados,BRB,933.3,955.21,-21.91
2024,2,178,Belize,BLZ,925.02,925.02,0.0
2024,2,179,Mauritius,MRI,923.46,927.57,-4.11
2024,2,180,Cambodia,CAM,921.2,921.2,0.0
2024,2,181,Montserrat,MSR,914.26,924.14,-9.88
2024,2,182,Bhutan,BHU,904.06,904.06,0.0
2024,2,183,Dominica,DMA,900.0,903.54,-3.54
2024,2,184,Brunei Darussalam,BRU,899.87,900.75,-0.88
2024,2,185,Bangladesh,BAN,898.81,896.71,2.09999999999991
2024,2,186,Laos,LAO,889.54,889.62,-0.08
2024,2,187,Mongolia,MNG,883.57,883.57,0.0
2024,2,188,American Samoa,ASA,883.17,883.17,0.0
2024,2,189,São Tomé and Príncipe,STP,878.09,878.09,0.0
2024,2,190,Cook Islands,COK,877.53,877.53,0.0
2024,2,191,Djibouti,DJI,877.37,875.13,2.24000000000001
2024,2,192,Samoa,SAM,876.41,890.77,-14.36
2024,2,193,Macau,MAC,871.52,871.52,0.0
2024,2,194,Cayman Islands,CAY,866.71,866.71,0.0
2024,2,195,Aruba,ARU,858.0,863.29,-5.29
2024,2,196,Timor-Leste,TLS,850.83,850.83,0.0
2024,2,197,Gibraltar,GIB,848.58,848.32,0.259999999999991
2024,2,198,Pakistan,PAK,842.59,842.59,0.0
2024,2,199,Tonga,TGA,835.64,835.64,0.0
2024,2,200,Sri Lanka,SRI,832.8,829.39,3.40999999999997
2024,2,201,Seychelles,SEY,831.19,831.19,0.0
2024,2,202,Somalia,SOM,829.81,829.81,0.0
2024,2,203,Guam,GUM,821.91,821.91,0.0
2024,2,204,Liechtenstein,LIE,821.71,834.15,-12.44
2024,2,205,Bahamas,BAH,818.58,818.58,0.0
2024,2,206,Turks and Caicos Islands,TCA,803.98,803.98,0.0
2024,2,207,British Virgin Islands,VGB,780.3,780.3,0.0
2024,2,208,US Virgin Islands,VIR,779.71,779.71,0.0
2024,2,209,Anguilla,AIA,769.31,769.31,0.0
2024,2,210,San Marino,SMR,747.42,737.04,10.38
