team_name,total_goals,penalty_goals,own_goals,clean_goals
Afghanistan,13,0,0,13
Albania,72,6,2,64
Algeria,67,6,4,57
American Samoa,6,0,0,6
Andorra,27,3,1,23
Angola,20,2,0,18
Antigua and Barbuda,12,2,0,10
Argentina,126,11,1,114
Armenia,72,7,4,61
Aruba,5,0,0,5
Australia,135,16,3,116
Austria,118,10,4,104
Azerbaijan,48,4,2,42
Bahrain,35,6,1,28
Bangladesh,6,0,1,5
Barbados,9,0,0,9
Belarus,55,6,0,49
Belgium,223,14,6,203
Belize,12,0,0,12
Benin,10,1,0,9
Bermuda,19,2,0,17
Bhutan,9,1,0,8
Bolivia,50,9,3,38
Bosnia and Herzegovina,96,6,4,86
Botswana,7,0,0,7
Brazil,139,12,1,126
British Virgin Islands,2,0,0,2
Brunei,3,0,0,3
Bulgaria,58,5,0,53
Burkina Faso,47,7,2,38
Burundi,7,1,0,6
Cambodia,11,0,0,11
Cameroon,62,6,1,55
Canada,124,10,6,108
Cape Verde,25,3,0,22
Cayman Islands,3,1,0,2
Central African Republic,6,0,0,6
Chad,4,1,0,3
Chile,85,5,1,79
China PR,86,11,1,74
Colombia,78,10,1,67
Comoros,6,0,0,6
Congo,22,1,2,19
Cook Islands,4,0,0,4
Costa Rica,87,7,3,77
Croatia,142,9,6,127
Cuba,12,3,0,9
Curaçao,25,2,1,22
Cyprus,51,4,2,45
Czech Republic,94,7,5,82
DR Congo,54,6,1,47
Denmark,141,13,3,125
Djibouti,7,1,0,6
Dominica,8,0,0,8
Dominican Republic,12,1,0,11
Ecuador,80,9,2,69
Egypt,46,7,2,37
El Salvador,54,3,0,51
England,202,27,10,165
Equatorial Guinea,26,3,0,23
Eritrea,2,0,0,2
Estonia,62,2,2,58
Eswatini,9,0,0,9
Ethiopia,14,3,1,10
Faroe Islands,43,2,0,41
Fiji,27,5,1,21
Finland,80,6,0,74
France,170,18,9,143
French Guiana,2,0,0,2
Gabon,19,2,2,15
Gambia,9,1,0,8
Georgia,81,11,4,66
Germany,194,13,5,176
Ghana,49,7,1,41
Gibraltar,23,4,1,18
Greece,83,6,5,72
Grenada,6,1,1,4
Guadeloupe,16,3,1,12
Guam,10,1,1,8
Guatemala,47,3,0,44
Guinea,27,4,0,23
Guinea-Bissau,14,1,1,12
Guyana,13,3,0,10
Haiti,42,3,1,38
Honduras,50,2,1,47
Hong Kong,18,2,0,16
Hungary,107,6,4,97
Iceland,96,11,0,85
India,17,1,1,15
Indonesia,8,1,0,7
Iran,122,14,3,105
Iraq,68,8,2,58
Israel,89,5,3,81
Italy,143,17,4,122
Ivory Coast,53,3,1,49
Jamaica,58,4,1,53
Japan,148,13,6,129
Jordan,56,7,2,47
Kazakhstan,66,4,2,60
Kenya,13,1,0,12
Kosovo,62,5,1,56
Kuwait,32,2,2,28
Kyrgyzstan,36,4,0,32
Laos,3,1,0,2
Latvia,64,5,5,54
Lebanon,32,3,0,29
Lesotho,2,0,0,2
Liberia,12,3,0,9
Libya,12,2,0,10
Liechtenstein,18,1,0,17
Lithuania,46,3,0,43
Luxembourg,66,9,3,54
Macau,2,1,0,1
Madagascar,18,0,0,18
Malawi,7,1,0,6
Malaysia,26,3,0,23
Maldives,15,2,1,12
Mali,35,6,1,28
Malta,37,3,3,31
Martinique,19,2,0,17
Mauritania,13,1,0,12
Mauritius,2,1,0,1
Mexico,140,14,6,120
Moldova,38,6,0,32
Mongolia,6,2,0,4
Montenegro,76,5,1,70
Montserrat,12,2,0,10
Morocco,67,5,2,60
Mozambique,10,2,1,7
Myanmar,12,0,0,12
Namibia,14,0,1,13
Nepal,4,1,0,3
Netherlands,166,12,3,151
New Caledonia,15,3,0,12
New Zealand,58,4,2,52
Nicaragua,26,1,0,25
Niger,19,3,0,16
Nigeria,49,7,2,40
North Korea,18,2,1,15
North Macedonia,98,10,4,84
Northern Ireland,68,5,2,61
Norway,100,11,5,84
Oman,45,5,1,39
Pakistan,2,2,0,0
Palestine,38,2,1,35
Panama,114,9,7,98
Papua New Guinea,28,0,0,28
Paraguay,52,5,2,45
Peru,76,4,5,67
Philippines,21,0,1,20
Poland,141,13,4,124
Portugal,201,19,5,177
Puerto Rico,11,2,0,9
Qatar,108,12,1,95
Republic of Ireland,65,6,2,57
Romania,89,8,0,81
Russia,95,7,6,82
Rwanda,13,0,0,13
Saint Kitts and Nevis,23,3,0,20
Saint Lucia,4,1,0,3
Saint Vincent and the Grenadines,18,2,0,16
Samoa,8,0,0,8
San Marino,8,1,0,7
Saudi Arabia,99,16,1,82
Scotland,115,9,6,100
Senegal,75,5,3,67
Serbia,120,9,4,107
Sierra Leone,6,0,0,6
Singapore,16,1,0,15
Slovakia,99,3,2,94
Slovenia,97,11,3,83
Solomon Islands,19,4,0,15
Somalia,2,0,0,2
South Africa,30,3,2,25
South Korea,103,11,4,88
South Sudan,2,0,1,1
Spain,203,9,13,181
Sri Lanka,3,1,0,2
Sudan,9,1,0,8
Suriname,22,2,1,19
Sweden,120,16,5,99
Switzerland,152,9,2,141
Syria,72,11,2,59
São Tomé and Príncipe,2,0,0,2
Tahiti,17,0,0,17
Taiwan,11,0,0,11
Tajikistan,26,3,0,23
Tanzania,15,1,0,14
Thailand,36,3,2,31
Timor-Leste,2,0,0,2
Togo,10,0,2,8
Tonga,1,0,0,1
Trinidad and Tobago,44,1,2,41
Tunisia,56,8,3,45
Turkey,122,12,1,109
Turkmenistan,24,1,0,23
Turks and Caicos Islands,4,2,1,1
Uganda,14,0,0,14
Ukraine,98,7,3,88
United Arab Emirates,89,12,1,76
United States,151,7,3,141
United States Virgin Islands,1,0,0,1
Uruguay,91,10,5,76
Uzbekistan,63,2,1,60
Vanuatu,6,1,0,5
Venezuela,51,3,0,48
Vietnam,37,3,1,33
Wales,94,8,4,82
Yemen,11,0,0,11
Zambia,23,1,0,22
Zimbabwe,13,2,0,11
