rank,team_name,acronym,projection_score,total.points,squad_quality,attack_rating,defense_rating,experience_factor
3,Spain,ESP,2652.5,1853.27,71.32,63.49,59.72,0.73
2,France,FRA,2640.76,1859.78,69.78,61.72,59.64,0.68
9,Italy,ITA,2526.78,1731.51,69.64,61.65,60.04,0.82
6,Portugal,POR,2525.54,1756.12,71.69,64.61,60.38,0.36
8,Belgium,BEL,2517.65,1740.62,70.37,62.63,59.43,0.59
7,Netherlands,NED,2513.07,1747.55,70.07,62.39,61.0,0.45
10,Germany,GER,2451.23,1703.79,68.2,61.1,59.38,0.45
13,Croatia,CRO,2444.25,1691.59,70.99,61.61,61.96,0.27
20,Switzerland,SUI,2378.79,1625.16,67.99,60.74,58.82,0.55
21,Denmark,DEN,2349.62,1611.49,69.23,62.13,59.53,0.27
22,Austria,AUT,2318.7,1589.84,67.45,60.18,59.69,0.32
25,Ukraine,UKR,2290.66,1554.94,71.21,63.97,60.92,0.05
27,Sweden,SWE,2290.11,1540.2,67.48,61.11,58.06,0.55
30,Hungary,HUN,2274.03,1517.57,69.43,61.98,60.79,0.41
34,Russia,RUS,2256.86,1512.32,71.25,64.04,59.39,0.18
35,Poland,POL,2244.17,1510.62,66.81,61.02,58.48,0.41
32,Serbia,SRB,2242.94,1514.28,70.44,59.66,61.16,0.14
28,TÃ¼rkiye,TUR,2239.83,1537.24,68.35,61.76,58.52,0.0
42,Czechia,CZE,2233.09,1484.88,72.47,65.22,63.4,0.0
39,Greece,GRE,2227.61,1489.88,70.98,63.62,60.99,0.09
