date,semester,rank,team_name,acronym,total.points,previous.points,diff.points,confederation,qualified_2026,total_goals,penalty_goals,own_goals,clean_goals,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,wc_total_goals,wc_tournaments,wc_experience_score,points_momentum,squad_quality,attack_rating,defense_rating,goal_efficiency,experience_factor,qualification_probability
2024,2,49,Cameroon,CMR,1471.49,1472.12,-0.63,,0,62.0,6.0,1.0,55.0,67.42,85.0,80.0,72.54,24.79,71.71,54.28,57.14,63.95,50.85,68.47,22.0,8.0,126.0,-0.63,69.47,63.31,59.66,0.62,0.36,0.1
2024,2,50,Chile,CHI,1469.44,1455.22,14.22,,0,85.0,5.0,1.0,79.0,65.98,77.0,168.0,70.83,26.61,68.54,51.49,57.41,62.18,51.82,65.38,40.0,9.0,173.0,14.22,67.92,60.74,58.6,0.85,0.41,0.1
2024,2,51,Mali,MLI,1466.1,1454.84,11.26,,0,35.0,6.0,1.0,28.0,67.61,79.0,74.0,74.2,24.03,70.43,54.28,58.19,64.61,54.66,67.46,0.0,0.0,0.0,11.26,70.25,63.11,61.06,0.35,0.0,0.05
2024,2,52,Tunisia,TUN,1464.42,1478.52,-14.1,CAF,1,56.0,8.0,3.0,45.0,67.03,80.0,31.0,72.42,24.81,69.23,55.26,59.81,65.1,52.48,64.87,14.0,6.0,90.0,-14.1,69.19,63.2,58.68,0.56,0.27,1.0
2024,2,53,Paraguay,PAR,1458.26,1440.78,17.48,CONMEBOL,1,52.0,5.0,2.0,45.0,65.93,79.0,161.0,71.19,25.76,68.18,53.25,56.59,62.06,50.4,63.6,30.0,8.0,141.0,17.48,68.03,61.16,57.0,0.52,0.36,1.0
2024,2,54,Costa Rica,CRC,1454.99,1465.57,-10.58,,0,87.0,7.0,3.0,77.0,67.15,71.0,13.0,72.31,25.46,72.38,56.31,56.77,64.08,47.69,62.77,22.0,6.0,104.0,-10.58,69.21,64.26,55.23,0.87,0.27,0.05
2024,2,55,Slovenia,SVN,1454.25,1459.59,-5.34,,0,97.0,11.0,3.0,83.0,68.06,88.0,52.0,72.37,25.6,68.0,54.25,59.27,63.94,54.46,66.73,5.0,2.0,30.0,-5.34,69.78,62.06,60.6,0.97,0.09,0.05
2024,2,56,Iraq,IRQ,1442.86,1434.4,8.45999999999981,,0,68.0,8.0,2.0,58.0,65.43,68.0,14.0,71.93,23.57,72.86,58.57,59.21,66.64,44.64,63.79,1.0,1.0,12.0,8.45999999999981,68.03,66.02,54.22,0.68,0.05,0.05
2024,2,57,South Africa,RSA,1428.87,1415.98,12.8899999999999,CAF,1,30.0,3.0,2.0,25.0,65.25,73.0,16.0,71.25,23.69,75.44,52.81,55.62,63.81,48.94,61.31,11.0,3.0,54.0,12.8899999999999,67.65,64.02,55.12,0.3,0.14,1.0
2024,2,58,Uzbekistan,UZB,1424.93,1429.26,-4.33,AFC,1,63.0,2.0,1.0,60.0,69.4,77.0,5.0,76.4,23.6,70.4,54.6,60.0,64.0,53.0,63.2,0.0,0.0,0.0,-4.33,72.2,63.0,58.1,0.63,0.0,1.0
2024,2,59,Saudi Arabia,KSA,1406.56,1422.67,-16.11,AFC,1,99.0,16.0,1.0,82.0,58.51,82.0,353.0,64.93,24.84,68.48,44.97,51.23,57.54,48.63,60.83,14.0,5.0,82.0,-16.11,61.08,57.0,54.73,0.99,0.23,1.0
2024,2,60,Republic of Ireland,IRL,1400.22,1395.61,4.61000000000013,,0,65.0,6.0,2.0,57.0,61.7,79.0,356.0,66.62,25.16,64.88,49.66,54.34,58.76,51.6,63.77,10.0,3.0,51.0,4.61000000000013,63.67,57.77,57.68,0.65,0.14,0.05
2024,2,61,Congo DR,COD,1395.77,1431.3,-35.53,,0,0.0,0.0,0.0,0.0,68.55,82.0,47.0,71.13,26.98,72.72,55.02,58.89,66.23,51.77,68.94,0.0,0.0,0.0,-35.53,69.58,64.66,60.36,0.0,0.0,0.05
2024,2,62,Jamaica,JAM,1390.85,1405.36,-14.51,,0,58.0,4.0,1.0,53.0,64.73,79.0,44.0,69.41,26.02,71.84,53.77,54.66,62.16,48.39,65.11,3.0,1.0,16.0,-14.51,66.6,62.59,56.75,0.58,0.05,0.05
2024,2,63,United Arab Emirates,UAE,1385.57,1361.34,24.23,,0,89.0,12.0,1.0,76.0,64.73,73.0,11.0,71.82,24.09,67.82,51.91,56.36,62.82,46.82,62.45,2.0,1.0,14.0,24.23,67.57,60.85,54.64,0.89,0.05,0.05
2024,2,64,Jordan,JOR,1375.91,1380.75,-4.84,AFC,1,56.0,7.0,2.0,47.0,70.33,75.0,3.0,75.33,25.33,86.33,52.67,51.33,62.67,44.33,67.33,0.0,0.0,0.0,-4.84,72.33,67.22,55.83,0.56,0.0,1.0
2024,2,65,Albania,ALB,1375.57,1379.29,-3.72,,0,72.0,6.0,2.0,64.0,67.12,79.0,59.0,71.63,25.42,66.9,54.36,58.14,63.66,52.73,64.81,0.0,0.0,0.0,-3.72,68.92,61.64,58.77,0.72,0.0,0.05
2024,2,66,Burkina Faso,BFA,1373.76,1399.8,-26.04,,0,47.0,7.0,2.0,38.0,65.39,81.0,28.0,73.86,22.64,71.96,51.89,56.5,64.32,44.86,62.54,0.0,0.0,0.0,-26.04,68.78,62.72,53.7,0.47,0.0,0.05
2024,2,67,North Macedonia,MKD,1368.96,1361.01,7.95000000000005,,0,98.0,10.0,4.0,84.0,67.72,79.0,18.0,69.78,27.56,70.89,59.39,61.33,66.39,50.33,64.61,0.0,0.0,0.0,7.95000000000005,68.54,65.56,57.47,0.98,0.0,0.05
2024,2,68,Georgia,GEO,1362.21,1365.56,-3.35,,0,81.0,11.0,4.0,66.0,67.79,87.0,34.0,74.09,24.03,70.12,54.76,59.88,65.88,51.09,63.53,0.0,0.0,0.0,-3.35,70.31,63.59,57.31,0.81,0.0,0.05
2024,2,69,Finland,FIN,1361.53,1374.58,-13.05,,0,80.0,6.0,0.0,74.0,64.92,81.0,83.0,70.8,24.7,69.81,52.73,58.02,62.93,51.0,62.66,0.0,0.0,0.0,-13.05,67.27,61.82,56.83,0.8,0.0,0.05
2024,2,70,Iceland,ISL,1355.1,1353.18,1.91999999999985,,0,96.0,11.0,0.0,85.0,66.07,79.0,61.0,71.31,24.79,67.64,57.13,58.77,64.03,50.02,66.46,2.0,1.0,15.0,1.91999999999985,68.17,62.93,58.24,0.96,0.05,0.05
2024,2,71,Northern Ireland,NIR,1349.58,1345.06,4.51999999999998,,0,68.0,5.0,2.0,61.0,63.55,78.0,78.0,68.37,25.38,66.77,53.47,56.49,61.32,52.24,64.63,13.0,3.0,56.0,4.51999999999998,65.48,60.52,58.44,0.68,0.14,0.05
2024,2,72,Cabo Verde,CPV,1328.51,1340.87,-12.36,CAF,1,0.0,0.0,0.0,0.0,67.03,77.0,29.0,69.79,27.34,69.38,54.48,59.55,64.83,50.86,65.41,0.0,0.0,0.0,-12.36,68.13,62.9,58.14,0.0,0.0,1.0
2024,2,73,Montenegro,MNE,1326.76,1323.2,3.55999999999995,,0,76.0,5.0,1.0,70.0,67.28,78.0,25.0,71.88,26.24,66.2,53.2,56.04,61.2,52.96,68.92,0.0,0.0,0.0,3.55999999999995,69.12,60.2,60.94,0.76,0.0,0.05
2024,2,74,Bosnia and Herzegovina,BIH,1326.69,1324.43,2.25999999999999,,0,96.0,6.0,4.0,86.0,66.67,81.0,64.0,71.2,26.19,64.7,54.3,58.39,63.09,52.41,67.88,4.0,1.0,18.0,2.25999999999999,68.48,60.7,60.14,0.96,0.05,0.05
2024,2,75,Honduras,HON,1325.93,1312.66,13.27,,0,50.0,2.0,1.0,47.0,67.64,73.0,11.0,71.45,26.36,72.36,55.45,61.0,66.45,51.91,66.27,3.0,2.0,26.0,13.27,69.16,64.75,59.09,0.5,0.09,0.05
2024,2,76,Israel,ISR,1322.25,1303.65,18.5999999999999,,0,89.0,5.0,3.0,81.0,68.64,77.0,22.0,74.18,23.73,71.41,58.09,59.5,66.18,49.91,65.27,1.0,1.0,12.0,18.5999999999999,70.86,65.23,57.59,0.89,0.05,0.05
2024,2,77,Ghana,GHA,1320.52,1338.73,-18.21,CAF,1,49.0,7.0,1.0,41.0,66.62,83.0,138.0,72.83,24.47,73.49,54.62,57.19,64.91,48.98,64.19,18.0,4.0,79.0,-18.21,69.1,64.34,56.58,0.49,0.18,1.0
2024,2,78,Guinea,GUI,1311.88,1312.45,-0.57,,0,27.0,4.0,0.0,23.0,66.53,87.0,40.0,72.85,24.25,65.92,53.85,57.25,64.1,50.9,65.35,0.0,0.0,0.0,-0.57,69.06,61.29,58.12,0.27,0.0,0.05
2024,2,79,Bolivia,BOL,1308.58,1312.36,-3.78,,0,50.0,9.0,3.0,38.0,62.16,72.0,77.0,67.44,26.31,67.53,48.42,54.81,59.03,52.14,59.96,1.0,1.0,12.0,-3.78,64.27,58.33,56.05,0.5,0.05,0.05
2024,2,80,Oman,OMA,1306.67,1305.99,0.680000000000064,,0,45.0,5.0,1.0,39.0,66.77,81.0,77.0,71.88,25.3,68.58,54.28,57.65,63.86,52.39,65.27,0.0,0.0,0.0,0.680000000000064,68.81,62.24,58.83,0.45,0.0,0.05
2024,2,81,Bahrain,BHR,1305.52,1313.8,-8.28,,0,35.0,6.0,1.0,28.0,66.77,81.0,77.0,71.88,25.3,68.58,54.28,57.65,63.86,52.39,65.27,0.0,0.0,0.0,-8.28,68.81,62.24,58.83,0.35,0.0,0.05
2024,2,82,Bulgaria,BUL,1301.04,1295.11,5.93000000000006,,0,58.0,5.0,0.0,53.0,66.62,77.0,24.0,72.0,24.79,67.79,51.46,56.5,60.58,54.92,67.0,22.0,7.0,117.0,5.93000000000006,68.77,59.94,60.96,0.58,0.32,0.05
2024,2,83,El Salvador,SLV,1300.81,1297.99,2.81999999999994,,0,54.0,3.0,0.0,51.0,64.5,70.0,4.0,69.5,26.25,63.5,55.75,55.75,64.0,50.25,65.75,1.0,1.0,12.0,2.81999999999994,66.5,61.08,58.0,0.54,0.05,0.05
2024,2,84,Gabon,GAB,1297.87,1294.11,3.75999999999999,,0,19.0,2.0,2.0,15.0,70.1,81.0,10.0,73.2,27.6,72.3,54.7,61.1,66.6,53.9,66.0,0.0,0.0,0.0,3.75999999999999,71.34,64.53,59.95,0.19,0.0,0.05
2024,2,85,Angola,ANG,1296.48,1298.75,-2.27,,0,20.0,2.0,0.0,18.0,67.93,77.0,30.0,72.6,25.3,73.43,56.07,56.87,65.2,47.5,64.83,1.0,1.0,12.0,-2.27,69.8,64.9,56.16,0.2,0.05,0.05
2024,2,86,Haiti,HAI,1287.75,1283.67,4.07999999999993,,0,42.0,3.0,1.0,38.0,66.57,75.0,14.0,70.0,27.29,72.36,50.64,58.07,64.0,53.36,65.79,2.0,1.0,14.0,4.07999999999993,67.94,62.33,59.58,0.42,0.05,0.05
2024,2,87,Zambia,ZAM,1279.24,1251.84,27.4000000000001,,0,23.0,1.0,0.0,22.0,68.38,75.0,8.0,71.88,26.5,77.88,59.62,56.88,67.5,42.25,63.75,0.0,0.0,0.0,27.4000000000001,69.78,68.33,53.0,0.23,0.0,0.05
2024,2,88,Uganda,UGA,1270.42,1269.79,0.630000000000109,,0,14.0,0.0,0.0,14.0,64.86,69.0,7.0,68.43,26.0,70.43,48.29,55.57,62.0,54.86,67.71,0.0,0.0,0.0,0.630000000000109,66.29,60.24,61.28,0.14,0.0,0.05
2024,2,89,New Zealand,NZL,1269.83,1258.11,11.72,OFC,1,58.0,4.0,2.0,52.0,61.98,82.0,55.0,69.45,24.09,69.27,52.47,55.93,60.49,51.96,67.45,4.0,2.0,28.0,11.72,64.97,60.74,59.7,0.58,0.09,1.0
2024,2,90,China PR,CHN,1266.38,1257.29,9.09000000000015,,0,86.0,11.0,1.0,74.0,56.23,71.0,401.0,60.96,26.42,65.93,45.09,49.58,55.4,48.86,61.31,0.0,0.0,0.0,9.09000000000015,58.12,55.47,55.08,0.86,0.0,0.05
2024,2,91,Curaçao,CUW,1264.78,1260.87,3.91000000000008,,0,25.0,2.0,1.0,22.0,66.77,81.0,77.0,71.88,25.3,68.58,54.28,57.65,63.86,52.39,65.27,0.0,0.0,0.0,3.91000000000008,68.81,62.24,58.83,0.25,0.0,0.05
2024,2,92,Luxembourg,LUX,1256.42,1262.08,-5.66,,0,66.0,9.0,3.0,54.0,65.73,77.0,15.0,71.47,25.2,66.07,47.2,56.27,61.13,57.8,66.27,0.0,0.0,0.0,-5.66,68.03,58.13,62.04,0.66,0.0,0.05
2024,2,93,Equatorial Guinea,EQG,1256.2,1266.68,-10.48,,0,26.0,3.0,0.0,23.0,65.91,76.0,11.0,70.27,25.91,67.82,57.36,55.73,63.09,47.18,64.45,0.0,0.0,0.0,-10.48,67.65,62.76,55.82,0.26,0.0,0.05
2024,2,94,Benin,BEN,1250.99,1250.97,0.0199999999999818,,0,10.0,1.0,0.0,9.0,65.67,73.0,9.0,69.89,25.89,74.0,53.56,54.89,61.44,46.78,68.78,0.0,0.0,0.0,0.0199999999999818,67.36,63.0,57.78,0.1,0.0,0.05
2024,2,95,Syria,SYR,1249.47,1252.19,-2.72,,0,72.0,11.0,2.0,59.0,64.93,75.0,14.0,70.07,25.93,65.71,51.57,54.36,61.14,49.86,63.29,0.0,0.0,0.0,-2.72,66.99,59.47,56.58,0.72,0.0,0.05
2024,2,96,Mozambique,MOZ,1232.7,1229.01,3.69000000000005,,0,10.0,2.0,1.0,7.0,73.5,79.0,4.0,75.75,27.25,84.25,60.5,64.25,73.0,65.25,63.5,0.0,0.0,0.0,3.69000000000005,74.4,72.58,64.38,0.1,0.0,0.05
2024,2,97,Thailand,THA,1228.24,1231.75,-3.51,,0,36.0,3.0,2.0,31.0,63.0,63.0,1.0,66.0,25.0,73.0,33.0,49.0,59.0,58.0,68.0,0.0,0.0,0.0,-3.51,64.2,55.0,63.0,0.36,0.0,0.05
2024,2,98,Belarus,BLR,1226.31,1231.1,-4.79,,0,55.0,6.0,0.0,49.0,65.0,68.0,3.0,72.0,22.67,67.67,61.33,57.33,62.67,32.67,64.0,0.0,0.0,0.0,-4.79,67.8,63.89,48.34,0.55,0.0,0.05
2024,2,99,Kosovo,KOS,1219.82,1218.22,1.59999999999991,,0,62.0,5.0,1.0,56.0,66.03,83.0,65.0,71.05,24.58,67.75,55.72,59.57,63.66,48.2,65.08,0.0,0.0,0.0,1.59999999999991,68.04,62.38,56.64,0.62,0.0,0.05
2024,2,100,Armenia,ARM,1219.15,1222.74,-3.59,,0,72.0,7.0,4.0,61.0,69.22,83.0,9.0,71.44,28.78,67.56,64.78,65.33,70.33,44.89,64.22,0.0,0.0,0.0,-3.59,70.11,67.56,54.56,0.72,0.0,0.05
